Company,File No,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
"Anthem Health Plans, Inc",{'': 7047069},2022-08-08,2022-08-10,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
Progressive Direct Insurance Company,{'': 7042021},2022-01-12,2022-06-01,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement,Claim Settled,Claim Paid,900.67,Closed
State Farm Mutual Automobile Insurance Company,{'': 7051117},2023-01-24,2023-02-27,Individual Private Passenger,Liability,Claim Handling,Loss of Use,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044883},2022-05-04,2022-05-16,Individual,A & H,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7048986},2022-10-28,2022-11-23,A & H,Health Exchange,Claim Handling,Claim Denial,Claim Settled,Claim Paid,672.09,Closed
"Anthem Health Plans, Inc",{'': 7042488},2022-01-28,2022-04-04,A & H,A & H,Claim Handling,Claim Denial,Claim Settled,Claim Paid,822.0,Closed
"Anthem Health Plans, Inc",{'': 7049689},2022-11-28,2023-01-25,Individual,Health Only,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
Progressive Casualty Insurance Company,{'': 7041868},2022-01-05,2022-06-01,Individual Private Passenger,Comprehensive,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7044905},2022-05-04,2022-08-05,Group,A & H,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,1574.94,Closed
"ConnectiCare Benefits, Inc.",{'': 7042800},2022-02-08,2022-04-07,A & H,Health Exchange,Claim Handling,Unsatisfactory Settlement/Offer,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
Allstate Fire and Casualty Insurance Company,{'': 7045523},2022-05-26,2022-07-06,Individual Private Passenger,Collision,Claim Handling,Loss of Use,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Oxford Health Plans (CT), Inc",{'': 7041245},2021-12-02,2022-01-07,A & H,Health Only,Claim Handling,Claim Denial,Claim Settled,Claim Paid With Interest,34860.19,Closed
UnitedHealthcare Insurance Company,{'': 7045327},2022-05-18,2022-06-10,Group,Dental,Claim Handling,Claim Delay,Claim Settled,Claim Paid,231.0,Closed
ConnectiCare Inc,{'': 7052440},2023-03-09,2023-03-16,Individual,Health Only,Claim Handling,Medical Necessity,Complaint Withdrawn,Coverage Granted,0.0,Closed
State Farm Mutual Automobile Insurance Company,{'': 7049983},2022-12-08,2023-01-30,Individual Private Passenger,Liability,Claim Handling,Claim Delays,Company Position Overturned,Enter Arbitration,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7046920},2022-07-31,2022-09-07,Group,A & H,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7048353},2022-10-03,2022-10-24,A & H,Health Exchange,Claim Handling,Claim Denial,Claim Settled,Corrective Action,73.08,Closed
State Farm Mutual Automobile Insurance Company,{'': 7046652},2022-07-19,2022-08-26,Individual Private Passenger,Collision,Claim Handling,Adjuster Handling,Company Position Overturned,Justified,781.84,Closed
Cigna Health and Life Insurance Company,{'': 7050470},2023-01-03,2023-02-23,A & H,Health Only,Claim Handling,Claim Delay,Claim Settled,Claim Paid,0.0,Closed
"Anthem Health Plans, Inc",{'': 7048939},2022-10-26,2022-12-06,A & H,Health Exchange,PolicyHolder Service,Unsatisfactory Refund of Premium,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044883},2022-05-04,2022-05-16,Individual,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7047889},2022-09-13,2022-10-03,A & H,Exchange,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7040855},2021-11-15,2021-12-23,Group,A & H,Claim Handling,Medical Necessity Denial,Company Position Overturned,Claim Paid,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7043507},2022-03-03,2022-03-30,A & H,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
GEICO General Insurance Company,{'': 7048347},2022-10-02,2022-10-25,Individual Private Passenger,Collision,Claim Handling,Claim Delays,Claim Settled,Claim Paid,0.0,Closed
Progressive Casualty Insurance Company,{'': 7015298},2018-03-26,2018-05-29,Commercial,Commercial Auto,Claim Handling,Claim Delay,Company Position Substantiated,Corrective Action,0.0,Closed
Progressive Casualty Insurance Company,{'': 7015298},2018-03-26,2018-05-29,Commercial,Commercial Auto,Claim Handling,Claim Delay,Company Position Substantiated,Corrective Action,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7045475},2022-05-24,2022-11-22,Group,Health Only,Claim Handling,Claim Denial,Claim Settled,Claim Paid,40066.0,Reopened
"ConnectiCare Benefits, Inc.",{'': 7041190},2021-11-30,2022-01-14,A & H,Exchange,Claim Handling,Network Adequacy,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7006385},2021-10-13,2022-01-07,A & H,A & H,Claim Handling,Coordination of Benefit,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044212},2022-04-05,2022-04-18,A & H,Health Only,Claim Handling,"Co-pay, Deductible, and Co-Insurance Issues",Company Position Substantiated,Company Position Upheld,0.0,Closed
Progressive Direct Insurance Company,{'': 7042438},2022-01-26,2022-03-01,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Enter Arbitration,0.0,Closed
Allstate Fire and Casualty Insurance Company,{'': 7002871},2020-07-17,2020-08-12,Individual Private Passenger,Physical Damage,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,Unjustified,0.0,Closed
Allstate Fire and Casualty Insurance Company,{'': 7050656},2023-01-10,2023-01-31,Individual Private Passenger,Collision,Claim Handling,Adjuster Handling,Company Position Overturned,Justified,1950.0,Closed
Progressive Direct Insurance Company,{'': 7042021},2022-01-12,2022-06-01,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Justified,900.67,Closed
"ConnectiCare Insurance Company, Inc",{'': 7046719},2022-07-22,2022-08-03,Group,Health Only,Claim Handling,Claim Delay,Claim Settled,Claim Paid With Interest,122.41,Closed
"Anthem Health Plans, Inc",{'': 7041296},2021-12-06,2022-01-05,A & H,Exchange,Claim Handling,Claim Denial,Company Position Overturned,Corrective Action,0.0,Closed
Progressive Direct Insurance Company,{'': 7043480},2022-03-02,2022-04-01,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0.0,Closed
Progressive Casualty Insurance Company,{'': 7040876},2021-11-16,2021-12-08,Individual Private Passenger,Personal Passenger Protection (PPP),Claim Handling,Adjuster Handling,Company Position Substantiated,Enter Arbitration,0.0,Closed
Progressive Casualty Insurance Company,{'': 7048313},2022-09-29,2022-11-03,Individual Private Passenger,Liability,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,Enter Arbitration,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7044706},2022-04-27,2022-05-31,Group,Health Only,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7048566},2022-10-11,2022-10-21,A & H,A & H,Claim Handling,Medical Necessity Denial,Company Position Substantiated,External Review Info Sent,0.0,Closed
"Anthem Health Plans, Inc",{'': 7041381},2021-12-09,2022-01-05,A & H,A & H,Claim Handling,Claim Denial,Claim Settled,Claim Paid,240.0,Closed
Cigna Health and Life Insurance Company,{'': 7048213},2022-09-26,2022-10-26,Group,A & H,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049245},2022-11-08,2022-12-05,Individual,Exchange,Claim Handling,Claim Denial,Claim Settled,Claim Paid,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7049034},2022-10-31,2022-11-10,Individual,Health Exchange,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
"Oxford Health Plans (CT), Inc",{'': 7048550},2022-10-11,2022-10-14,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7041028},2021-11-21,2021-12-01,Group,A & H,Claim Handling,Claim Denial,Claim Settled,Claim Paid,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7048462},2022-10-06,2023-01-10,A & H,A & H,Claim Handling,Claim Denial,Claim Settled,Claim Paid,23756.04,Closed
Progressive Casualty Insurance Company,{'': 7047853},2022-09-12,2022-09-28,Individual Private Passenger,Collision,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
Allstate Fire and Casualty Insurance Company,{'': 7041716},2021-12-28,2022-02-09,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Enter Arbitration,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7048905},2022-10-25,2022-11-02,Group,Dental,Claim Handling,Claim Denial,Claim Settled,Claim Paid,214.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7046719},2022-07-22,2022-08-03,A & H,Health Only,Claim Handling,Claim Delay,Claim Settled,Claim Paid With Interest,122.41,Closed
Progressive Direct Insurance Company,{'': 7041766},2021-12-29,2022-05-27,Individual Private Passenger,Comprehensive,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0.0,Closed
Allstate Fire and Casualty Insurance Company,{'': 7045262},2022-05-17,2022-07-18,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Overturned,Corrective Action,545.17,Closed
Allstate Fire and Casualty Insurance Company,{'': 7051136},2023-01-25,2023-02-24,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0.0,Closed
Progressive Direct Insurance Company,{'': 7042021},2022-01-12,2022-06-01,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Claim Paid,900.67,Closed
UnitedHealthcare Insurance Company,{'': 7006957},2021-10-21,2021-11-18,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,External Review Info Sent,0.0,Closed
Allstate Fire and Casualty Insurance Company,{'': 7002871},2020-07-17,2020-08-12,Individual Private Passenger,Physical Damage,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,Refer To Appraisal,0.0,Closed
"Anthem Health Plans, Inc",{'': 7050196},2022-12-19,2023-01-20,A & H,A & H,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
State Farm Fire & Casualty Company,{'': 7009593},2021-07-14,2021-09-22,Homeowners,Homeowners,Claim Handling,Claim Delay,Company Position Substantiated,Corrective Action,6746.59,Closed
"Anthem Health Plans, Inc",{'': 7049299},2022-11-10,2022-11-29,A & H,Health Only,Claim Handling,Claim Denial,Claim Settled,Interest Paid,173.39,Closed
Progressive Direct Insurance Company,{'': 7045851},2022-06-14,2022-07-25,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Overturned,Enter Arbitration,0.0,Closed
State Farm Mutual Automobile Insurance Company,{'': 7046652},2022-07-19,2022-08-26,Individual Private Passenger,Collision,Claim Handling,Loss of Use,Company Position Overturned,Justified,781.84,Closed
"Anthem Health Plans, Inc",{'': 7042658},2022-02-03,2022-03-21,Group,Health Only,Claim Handling,"Co-pay, Deductible, and Co-Insurance Issues",Claim Settled,Claim Paid,10.0,Closed
"Anthem Health Plans, Inc",{'': 7049971},2022-12-08,2022-12-23,A & H,Health Only,Claim Handling,Preventive Care,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7051178},2023-01-26,2023-03-10,Group,Health Only,Claim Handling,Claim Delay,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7047379},2022-08-19,2022-09-20,A & H,A & H,Claim Handling,Claim Denial,Claim Settled,Coverage Granted,0.0,Closed
GEICO General Insurance Company,{'': 7048897},2022-10-25,2022-11-28,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Enter Arbitration,0.0,Closed
State Farm Fire & Casualty Company,{'': 7049661},2022-11-23,2022-12-27,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7050135},2022-12-14,2023-01-10,Group,A & H,Claim Handling,Unsatisfactory Settlement/Offer,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7044860},2022-05-03,2022-06-02,A & H,Health Only,Claim Handling,Claim Denial,Claim Settled,Claim Paid,147.58,Closed
"ConnectiCare Benefits, Inc.",{'': 7049297},2022-11-10,2022-12-06,A & H,Health Only,PolicyHolder Service,Unsatisfactory Refund of Premium,Compromised Settlement/Resolution,Premium Refund,0.0,Closed
"Anthem Health Plans, Inc",{'': 7006385},2021-10-13,2022-01-07,Group,Health Only,Claim Handling,Coordination of Benefits,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
Progressive Direct Insurance Company,{'': 7042021},2022-01-12,2022-06-01,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement,Claim Settled,Justified,900.67,Closed
"ConnectiCare Insurance Company, Inc",{'': 7045355},2022-05-19,2022-12-28,A & H,A & H,Claim Handling,Claim Delay,Claim Settled,Claim Paid,5.07,Closed
"ConnectiCare Benefits, Inc.",{'': 7043507},2022-03-03,2022-03-30,A & H,Health Exchange,Claim Handling,Unsatisfactory Settlement/Offer,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7044905},2022-05-04,2022-08-05,A & H,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,1574.94,Closed
State Farm Mutual Automobile Insurance Company,{'': 7042223},2022-01-20,2022-02-08,Individual Private Passenger,Collision,Claim Handling,Claim Delays,Claim Settled,Claim Paid,17737.6,Closed
Progressive Direct Insurance Company,{'': 7043453},2022-03-02,2022-05-16,Individual Private Passenger,Physical Damage,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052066},2023-02-27,2023-03-15,A & H,A & H,Claim Handling,Claim Denial,Claim Settled,Claim Paid With Interest,547.88,Closed
"ConnectiCare Insurance Company, Inc",{'': 7043448},2022-03-01,2022-03-18,Group,Health Only,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7049322},2022-11-10,2022-12-01,Individual,A & H,Claim Handling,Unsatisfactory Settlement/Offer,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
State Farm Mutual Automobile Insurance Company,{'': 7043331},2022-02-24,2022-06-06,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Overturned,Justified,0.0,Closed
"Anthem Health Plans, Inc",{'': 7046116},2022-06-27,2022-08-11,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7042800},2022-02-08,2022-04-07,A & H,Health Exchange,Claim Handling,Unsatisfactory Settlement,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049214},2022-11-07,2023-01-09,A & H,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7041769},2021-12-29,2022-01-20,A & H,A & H,Claim Handling,Claim Delay,Claim Settled,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7043814},2022-03-17,2022-04-07,A & H,Health Only,Claim Handling,Claim Denial,Claim Settled,Claim Paid,2148.17,Closed
"ConnectiCare Benefits, Inc.",{'': 7044360},2022-04-12,2022-06-29,Individual,Exchange,Claim Handling,Claim Denial,Claim Settled,Voluntary Reconsideration,406.48,Closed
State Farm Mutual Automobile Insurance Company,{'': 7041513},2021-12-16,2022-03-24,Individual Private Passenger,Liability,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0.0,Closed
State Farm Mutual Automobile Insurance Company,{'': 7006704},2021-08-31,2021-12-01,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0.0,Closed
State Farm Fire & Casualty Company,{'': 7050063},2022-12-12,2023-03-02,Condo/Townhome,Hazard,Claim Handling,Claim Denial,Company Position Overturned,Justified,9000.0,Closed
"Anthem Health Plans, Inc",{'': 7049135},2022-11-03,2022-11-28,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7043752},2022-03-15,2022-04-07,Group,Health Only,Claim Handling,Claim Delay,Claim Settled,Claim Paid,213.0,Closed
"Anthem Health Plans, Inc",{'': 7050398},2022-12-29,2023-01-19,Group,Health Only,Claim Handling,Usual & Customary Fees,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7050135},2022-12-14,2023-01-10,A & H,Health Only,Claim Handling,Unsatisfactory Settlement,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
State Farm Mutual Automobile Insurance Company,{'': 7048358},2022-10-03,2022-11-03,Individual Private Passenger,Liability,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,Company Position Upheld,0.0,Closed
Allstate Fire and Casualty Insurance Company,{'': 7046871},2022-07-28,2022-09-01,Individual Private Passenger,Collision,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7045959},2022-06-18,2022-08-15,A & H,A & H,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7044456},2022-04-18,2022-05-03,Individual,Medicare,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7044360},2022-04-12,2022-06-29,A & H,Exchange,Claim Handling,Claim Denial,Claim Settled,Voluntary Reconsideration,406.48,Closed
"Anthem Health Plans, Inc",{'': 7051642},2023-02-13,2023-03-13,Individual,Dental Exchange,Claim Handling,Claim Denial,Company Position Overturned,Voluntary Reconsideration,162.83,Closed
"Anthem Health Plans, Inc",{'': 7044456},2022-04-18,2022-05-03,A & H,Medicare,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
State Farm Mutual Automobile Insurance Company,{'': 7047660},2022-09-01,2022-09-27,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Claim Paid,0.0,Closed
"Anthem Health Plans, Inc",{'': 7042303},2022-01-24,2022-02-22,Individual,Health Exchange,Claim Handling,Claim Delay,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7040927},2021-11-16,2021-12-28,Group,A & H,Claim Handling,Claim Denial,Claim Settled,Claim Paid,1627.79,Closed
UnitedHealthcare Insurance Company,{'': 7041690},2021-12-27,2022-01-10,A & H,Medicare Supplement Plan G,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0.0,Closed
Progressive Casualty Insurance Company,{'': 7047886},2022-09-13,2022-10-14,Individual Private Passenger,Collision,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0.0,Closed
State Farm Mutual Automobile Insurance Company,{'': 7049983},2022-12-08,2023-01-30,Individual Private Passenger,Liability,Claim Handling,Storage Fees,Company Position Overturned,Enter Arbitration,0.0,Closed
Allstate Fire and Casualty Insurance Company,{'': 7051261},2023-01-31,2023-03-15,Individual Private Passenger,Liability,Claim Handling,Steering,Company Position Substantiated,Claim Paid,0.0,Closed
State Farm Fire & Casualty Company,{'': 7049795},2022-11-30,2023-01-04,Renter/Tenants,Hazard,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0.0,Closed
Allstate Fire and Casualty Insurance Company,{'': 7041350},2021-12-08,2022-01-12,Individual Private Passenger,Comprehensive,Claim Handling,After Market Parts/Unsatisfactory Settlement,Company Position Substantiated,Company Position Upheld,1905.17,Closed
"ConnectiCare Insurance Company, Inc",{'': 7046814},2022-07-26,2022-08-25,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
GEICO General Insurance Company,{'': 7043076},2022-02-16,2022-04-06,Individual Private Passenger,Medical Payments,Claim Handling,Unsatisfactory Settlement,Company Position Substantiated,Company Position Upheld,0.0,Closed
Progressive Direct Insurance Company,{'': 7019156},2019-11-19,2019-12-24,Individual Private Passenger,Liability,Claim Handling,Contributory Comparative Negligence,Company Position Substantiated,Justified,0.0,Closed
State Farm Fire & Casualty Company,{'': 7004946},2020-11-09,2020-11-30,Homeowners,Homeowners,Claim Handling,Claim Delay,Company Position Substantiated,Unjustified,0.0,Closed
"Anthem Health Plans, Inc",{'': 7045914},2022-06-16,2022-08-04,Individual,Health Exchange,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
"Anthem Health Plans, Inc",{'': 7047180},2022-08-11,2022-08-25,Group,A & H,Claim Handling,Claim Delay,Claim Settled,Provider Issue,0.0,Closed
State Farm Fire & Casualty Company,{'': 7006791},2021-10-20,2021-11-26,Homeowners,Homeowners,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0.0,Closed
State Farm Mutual Automobile Insurance Company,{'': 7049274},2022-11-09,2022-12-09,Individual Private Passenger,Collision,Claim Handling,Adjuster Handling,Company Position Substantiated,Claim Paid,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7050510},2023-01-04,2023-02-02,Individual,Health Exchange,Claim Handling,Claim Delay,Claim Settled,Claim Paid,56.8,Closed
"ConnectiCare Benefits, Inc.",{'': 7049322},2022-11-10,2022-12-01,Individual,A & H,Claim Handling,Unsatisfactory Settlement,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0.0,Closed
Allstate Fire and Casualty Insurance Company,{'': 7047530},2022-08-28,2022-09-29,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0.0,Closed
Progressive Casualty Insurance Company,{'': 7044315},2022-04-08,2022-04-29,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Enter Arbitration,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7042619},2022-02-02,2022-02-23,A & H,Exchange,Claim Handling,Medical Necessity Denial,Company Position Substantiated,External Review Info Sent,0.0,Closed
"Anthem Health Plans, Inc",{'': 7045914},2022-06-16,2022-08-04,Individual,Health Only,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7050975},2023-01-20,2023-02-23,A & H,Health Only,PolicyHolder Service,Unsatisfactory Refund of Premium,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Oxford Health Plans (CT), Inc",{'': 7047684},2022-09-02,2022-09-09,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7045619},2022-06-01,2022-06-23,A & H,A & H,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7041785},2022-01-01,2022-01-25,A & H,Dental,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7042986},2022-02-14,2022-04-21,A & H,Health Only,Claim Handling,Claim Denial,Claim Settled,Claim Paid,0.0,Closed
State Farm Fire & Casualty Company,{'': 7041397},2021-12-09,2022-01-28,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0.0,Closed
Progressive Casualty Insurance Company,{'': 7047128},2022-08-09,2022-09-20,Individual Private Passenger,Collision,Claim Handling,Labor Rate,Company Position Substantiated,Refer To Appraisal,0.0,Closed
"Anthem Health Plans, Inc",{'': 7041785},2022-01-01,2022-01-25,Group,Dental,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7043344},2022-02-25,2022-03-10,Group,Pharmacy Benefits,Claim Handling,Medical Necessity Denial,Company Position Overturned,Coverage Granted,0.0,Closed
Progressive Direct Insurance Company,{'': 7047425},2022-08-22,2022-09-22,Commercial,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7045327},2022-05-18,2022-06-10,A & H,Dental,Claim Handling,Claim Delay,Claim Settled,Voluntary Reconsideration,231.0,Closed
UnitedHealthcare Insurance Company,{'': 7047663},2022-09-01,2022-09-22,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
Progressive Direct Insurance Company,{'': 7041945},2022-01-07,2022-03-02,Individual Private Passenger,Liability,Claim Handling,Denial,Company Position Substantiated,Refer-Judicial/Attorney,0.0,Closed
"Anthem Health Plans, Inc",{'': 7005766},2021-08-18,2021-12-16,A & H,Exchange,Claim Handling,Claim Denial,Claim Settled,Claim Paid,1384.27,Closed
State Farm Mutual Automobile Insurance Company,{'': 7048358},2022-10-03,2022-11-03,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7046814},2022-07-26,2022-08-25,A & H,A & H,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Provider Issue,0.0,Closed
Allstate Fire and Casualty Insurance Company,{'': 7049763},2022-11-30,2023-01-03,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7046920},2022-07-31,2022-09-07,A & H,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Provider Issue,0.0,Closed
State Farm Mutual Automobile Insurance Company,{'': 7002229},2020-05-28,2020-06-16,Individual Private Passenger,Liability,Claim Handling,Diminished Value,No Jurisdiction,Corrective Action,1060.0,Closed
GEICO General Insurance Company,{'': 7041011},2021-11-19,2021-12-29,Individual Private Passenger,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Refer-Judicial/Attorney,0.0,Closed
"Anthem Health Plans, Inc",{'': 7041785},2022-01-01,2022-01-25,Group,Self Funded/ERISA,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7043775},2022-03-15,2022-04-22,A & H,Health Exchange,Claim Handling,Medical Necessity Denial,Claim Settled,Coverage Granted,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052066},2023-02-27,2023-03-15,Group,A & H,Claim Handling,Claim Denial,Claim Settled,Claim Paid With Interest,547.88,Closed
